CO_IES|NO_IES|SGL_IES|CO_MANTENEDORA|NO_MANTENEDORA|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_MUNICIPIO_IES|NO_MUNICIPIO_IES|CO_UF_IES|SGL_UF_IES|NO_REGIAO_IES|IN_CAPITAL_IES|QT_TEC_TOTAL|QT_TEC_FUND_INCOMP_FEM|QT_TEC_FUND_INCOMP_MASC|QT_TEC_FUND_COMP_FEM|QT_TEC_FUND_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|IN_REFERENTE|VL_RECEITA_PROPRIA|VL_TRANSFERENCIA|VL_OUTRA_RECEITA|VL_DES_PESSOAL_REM_DOCENTE|VL_DES_PESSOAL_REM_TECNICO|VL_DES_PESSOAL_ENCARGO|VL_DES_CUSTEIO|VL_DES_INVESTIMENTO|VL_DES_PESQUISA|VL_DES_OUTRAS
483|CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO|UNIMESP|333|SOCIEDADE GUARULHENSE DE EDUCACAO|5|Privada sem fins lucrativos|2|Centro Universitário|3518800|Guarulhos|35|SP|Sudeste|0|117|9|14|4|7|16|27|15|11|9|4|0|1|0|0|1|1|1|1|1|1|1|140|23|1|22288501.25|0.00|13872.87|4572256.65|4675561.49|1601653.73|12159122.89|169484.45|0.00|0.00
489|CENTRO UNIVERSITÁRIO DE VOLTA REDONDA|UNIFOA|336|FUNDACAO OSWALDO ARANHA|5|Privada sem fins lucrativos|2|Centro Universitário|3306305|Volta Redonda|33|RJ|Sudeste|0|692|42|80|43|67|130|120|112|40|29|17|6|6|0|0|1|1|1|1|1|0|1|951|1023|2|90934594.17|0.00|1616252.89|31621885.30|16487252.30|18734974.44|0.00|0.00|0.00|16334944.82
490|CENTRO DE ENSINO SUPERIOR DE VALENÇA|CESVA|337|FUNDACAO EDUCACIONAL D ANDRE ARCOVERDE|5|Privada sem fins lucrativos|3|Faculdade|3306107|Valença|33|RJ|Sudeste|0|159|3|9|13|12|30|28|37|21|4|2|0|0|0|0|0|1|1|1|1|0|1|706|138|2|57107667.14|0.00|0.00|15183999.39|5858201.50|11688970.85|12435771.02|0.00|0.00|1160009.21
491|FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DON DOMÊNICO|FECLE|338|ASSOCIACAO AMPARO AOS PRAIANOS DO GUARUJA|5|Privada sem fins lucrativos|3|Faculdade|3518701|Guarujá|35|SP|Sudeste|0|17|0|0|0|0|0|0|5|1|3|0|3|3|0|2|0|1|0|1|1|0|1|157|3671|2|10650673.00|0.00|0.00|3334633.38|647612.00|1472145.93|245913.00|102530.21|0.00|2472748.00
492|FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ|FACEAG|339|ORGANIZACAO GUARA DE ENSINO|5|Privada sem fins lucrativos|3|Faculdade|3518404|Guaratinguetá|35|SP|Sudeste|0|10|0|0|1|1|3|1|2|0|1|0|1|0|0|0|1|0|1|1|1|1|1|268|3528|1|1371328.04|0.00|0.00|516684.52|221436.22|245552.09|181913.05|14636.68|12545.73|0.00
493|FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ|FACEG|339|ORGANIZACAO GUARA DE ENSINO|5|Privada sem fins lucrativos|3|Faculdade|3518404|Guaratinguetá|35|SP|Sudeste|0|10|0|0|1|1|3|1|2|0|1|0|1|0|0|0|1|0|1|1|1|1|1|268|3528|1|1371328.04|0.00|0.00|516684.52|221436.22|245552.09|181913.05|14636.68|12545.73|0.00
494|UNIVERSIDADE DO SUL DE SANTA CATARINA|UNISUL|340|FUNDACAO UNIVERSIDADE DO SUL DE SANTA CATARINA-UNISUL|5|Privada sem fins lucrativos|1|Universidade|4218707|Tubarão|42|SC|Sul|0|985|4|9|9|13|313|169|205|86|70|50|36|16|3|2|1|1|1|1|1|1|1|36|1250|1|302654076.82|907190.61|15480415.64|74469108.63|33690152.46|50940101.05|121046720.50|16746910.12|7794799.33|26254648.31
495|FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA|FESB|341|FUNDACAO MUNICIPAL DE ENSINO SUPERIOR BRAGANCA PAULISTA|3|Pública Municipal|3|Faculdade|3507605|Bragança Paulista|35|SP|Sudeste|0|229|6|7|5|10|19|14|28|25|27|15|29|25|10|9|1|0|0|1|1|1|1|80|0|1|14198793.29|0.00|966599.66|3488210.02|2429849.27|3403967.87|239050.56|0.00|0.00|3983215.87
496|UNIVERSIDADE DE FRANCA|UNIFRAN|342|ACEF S/A.|4|Privada com fins lucrativos|1|Universidade|3516200|Franca|35|SP|Sudeste|0|455|14|10|68|30|102|82|69|36|24|10|7|2|1|0|1|0|0|0|1|0|1|3008|10422|1|272963094.34|0.00|9606529.90|62357119.63|19151992.08|55591123.41|44107409.62|5626043.46|17069966.72|8944754.55
501|ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA|EMESCAM|345|IRMANDADE DA SANTA CASA DE MISERICORDIA DE VITORIA|5|Privada sem fins lucrativos|3|Faculdade|3205309|Vitória|32|ES|Sudeste|1|129|3|2|14|8|33|31|28|6|2|0|1|0|1|0|1|1|0|0|1|0|1|653|1243|2|50247061.97|0.00|2565725.49|18552396.81|3509916.96|5731156.46|1909957.86|0.00|0.00|17614963.12
502|CENTRO UNIVERSITÁRIO MONTE SERRAT|UNIMONTE|346|INSTITUTO DE EDUCACAO E CULTURA UNIMONTE S/A|4|Privada com fins lucrativos|2|Centro Universitário|3548500|Santos|35|SP|Sudeste|0|249|7|7|8|11|77|46|28|19|16|7|12|3|5|3|0|1|0|1|1|1|1|3|15000|1|49547228.00|0.00|1918067.00|9072474.00|6435984.00|12719234.00|15769264.00|13281274.00|0.00|14962997.00
506|FACULDADE DE MEDICINA DE CAMPOS|FMC|348|FUNDACAO BENEDITO PEREIRA NUNES|5|Privada sem fins lucrativos|3|Faculdade|3301009|Campos dos Goytacazes|33|RJ|Sudeste|0|123|4|7|3|10|35|22|18|15|4|3|2|0|0|0|0|0|0|0|1|1|1|151|3|2|35338370.15|0.00|0.00|13162974.76|2726886.48|5811456.21|8493994.13|0.00|0.00|0.00
507|FACULDADE TRIÂNGULO MINEIRO|FTM|349|ASSOCIACAO COMERCIAL E INDUSTRIAL DE ITUIUTABA|5|Privada sem fins lucrativos|3|Faculdade|3134202|Ituiutaba|31|MG|Sudeste|0|15|2|2|0|0|4|1|3|0|2|1|0|0|0|0|0|0|0|0|1|0|1|113|0|2|1613697.87|0.00|530143.99|952218.21|633197.27|532241.27|0.00|0.00|0.00|474281.56
508|FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DO SUL DE MINAS - FACESM|FACESM|350|CENTRO REGIONAL DE CULTURA|5|Privada sem fins lucrativos|3|Faculdade|3132404|Itajubá|31|MG|Sudeste|0|16|0|0|0|0|5|0|7|0|1|1|2|0|0|0|0|0|0|0|1|1|1|0|0|1|5777864.90|0.00|112961.48|2668347.37|630533.61|1084609.29|0.00|0.00|0.00|1573682.91
510|ESCOLA DE ENFERMAGEM WENCESLAU BRAZ|EEWB|352|ASSOCIACAO DE EDUCACAO, SAUDE E CULTURA - AESC|5|Privada sem fins lucrativos|3|Faculdade|3132404|Itajubá|31|MG|Sudeste|0|27|3|3|0|0|4|2|12|3|0|0|0|0|0|0|0|0|1|1|1|0|1|20|0|2|3191694.65|263557.80|224468.67|1741903.87|695301.69|575261.86|0.00|0.00|0.00|1022920.63
513|UNIVERSIDADE VALE DO RIO DOCE|UNIVALE|354|FUNDACAO PERCIVAL FARQUHAR|5|Privada sem fins lucrativos|1|Universidade|3127701|Governador Valadares|31|MG|Sudeste|0|343|49|33|23|16|59|86|16|29|13|18|0|1|0|0|1|1|1|1|1|1|1|378|4500|1|44847363.18|0.00|2364698.86|20305943.75|1723785.38|8147042.61|6853171.11|80918.87|756011.62|3904349.57
