Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
LP002697,Male,No,0,Graduate,No,4680,2087,NA,360,1,Semiurban,N
LP001768,Male,Yes,0,Graduate,NA,3716,0,42,180,1,Rural,Y
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N
LP002115,Male,Yes,3+,Not Graduate,No,2647,1587,173,360,1,Rural,N
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,NA,1,Rural,Y
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
LP002501,NA,Yes,0,Graduate,No,16692,0,110,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
LP002732,Male,No,0,Not Graduate,NA,2550,2042,126,360,1,Rural,Y
LP001398,Male,No,0,Graduate,NA,5050,0,118,360,1,Semiurban,Y
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,NA,Rural,N
LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y
LP002877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
LP001041,Male,Yes,0,Graduate,NA,2600,3500,115,NA,1,Urban,Y
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
LP001350,Male,Yes,NA,Graduate,No,13650,0,NA,360,1,Urban,Y
LP002082,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
LP002188,Male,No,0,Graduate,No,5124,0,124,NA,0,Rural,N
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
LP002129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001963,Male,Yes,1,Graduate,No,2014,2925,113,360,1,Urban,N
LP002502,Female,Yes,2,Not Graduate,NA,210,2917,98,360,1,Semiurban,Y
LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,NA,Urban,Y
LP002757,Female,Yes,0,Not Graduate,No,3017,663,102,360,NA,Semiurban,Y
LP002255,Male,No,3+,Graduate,No,9167,0,185,360,1,Rural,Y
LP002524,Male,No,2,Graduate,No,5532,4648,162,360,1,Rural,Y
LP002126,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
